extension,weight
pdf,60
txt,95
csv,80
xml,80
doc,75
docx,75
xls,75
xlsx,75
tex,60
dot,60
rtf,60
wpd,60
wps,60
pages,60
dat,80
ged,60
key,95
keychain,95
pps,75
ppt,75
pptx,75
sdf,60
tar,50
tax2016,60
tax2018,60
vcf,50
indd,60
pct,60
accdb,60
mdb,60
db,60
dbf,60
pdb,60
sql,60
dmp,90
mim,50
uue,50
eml,90
rar,50
tar.gz,50
odt,75
htm,60
html,60
ini,40
exe,25
dll,25
sys,25
bin,25
com,25
cpl,25
msc,40
gif,40
png,40
bmp,40
dib,40
scr,25
py,10
c,10
go,10
vb,10
cpp,10
js,10
asp,10
php,10
aspx,10
r,10
rb,10
tin,10
1,25
2,25
kext,25
bfd,25
gold,25
d,25
mp3,10
mpg,10
mp4,10
deb,25
pkg,25
rpm,25
apk,25
jar,25
fnt,10
ttf,10
lnk,10
cfg,40
